"","tag","year","L","K","doy_ip","r","theta","a","b"
"884",90752,2014,509.748424740281,515.741861896824,160.752278114867,0.0387299707592128,1.30630288922009,510.110538093999,515.61332103649
"885",90752,2015,515.050406947651,518.309339917556,139.749894892631,0.026882233193327,2.03199496655562,516.1835664,518.291068451532
"886",90752,2016,517.901572099686,522.27454420407,194.153635044774,0.0265317731007258,2.32154677168632,518.557058918673,522.12010419186
"887",90752,2017,521.684096666648,526.960867697516,163.335114488367,0.041696661249378,1.98816633418155,522.555789087763,526.866874983858
"888",90752,2018,526.860945285158,530.271419835194,197.369376447037,0.0377201396107626,5.1350440202475,527.073478977548,530.262643503465
"889",90752,2019,529.616229647562,534.547472335351,168.475673936626,0.0409004166730676,2.68235764631732,530.1790864,534.541847987156
"890",60571,2013,115.941272507517,116.294387465539,205.912659882884,0.176184078904141,17.2727542315999,115.948813802783,116.294387464631
"891",60571,2014,116.390386897201,117.264048984065,171.978590524609,0.0668218377371946,1.12558400627993,116.403139972241,117.248504464227
"892",60571,2015,117.268597175748,118.182182779392,169.972808790017,0.0838334345325105,2.13014271237548,117.318774243291,118.180748222299
"893",60571,2016,118.999762595235,119.382643214865,207.900110479119,0.1697002697678,134.034514145492,118.999762885807,119.365386968958
"894",60571,2017,119.204089827038,120.493001709443,179.262308958013,0.0477161359600113,1.15721616188729,119.252000070992,120.474135078334
"895",60571,2018,120.666488758843,122.528238884553,206.647497169797,0.0531446221516487,3.35573920602912,120.671100148986,122.526187369266
"896",60571,2019,122.643625000305,123.09466235061,142.760634787846,5.12142227557208,12.7359326061855,122.643625000305,123.09466235061
"897",110791,2011,634.402698814931,637.183618180638,163.330559650022,0.0620709236727326,1.08617728106508,634.6,637.183592877082
"898",110791,2012,636.868856422299,640.185299764795,169.908821029156,0.0675875971877085,2.23050478771441,636.941796279333,640.184797664601
"899",110791,2013,639.86523708301,642.677668500299,180.664587282733,0.078639284288961,2.19649966461763,639.895152737421,642.677576579051
"900",110791,2014,651.103994799071,653.742866603424,173.058107032246,0.0656019995765521,0.815120322715173,651.201279959358,653.742084221479
"901",110791,2015,653.625999121734,656.674269551845,178.806990487382,0.0717903149071038,2.73501187279894,653.631186435677,656.674148927231
"902",110791,2016,656.827014763367,658.488987592094,188.852951378504,0.0728086549445401,3.62920944277698,656.834497310435,658.488449520666
"903",110791,2017,658.284243895615,660.133932425903,194.237845015367,0.0376672294828881,2.44813170719276,658.444845654992,660.1108706
"904",110791,2018,660.265958503007,662.659597112438,179.029629105524,0.0636290480138938,1.27373160007758,660.284537374442,662.659199518946
"905",60573,2013,258.317964090593,261.20970997401,203.595084807821,0.112267739812122,15.5962176601852,258.5,261.209707021534
"906",60573,2014,260.945671379546,265.310660013841,172.379198581051,0.117566000715313,2.33970339666189,260.963794759445,265.310659445347
"907",60573,2015,265.368470159423,268.629303793356,165.909042503283,0.116433673386516,2.07724967864414,265.382686567694,268.595391643745
"908",60573,2016,194.757263204861,269.208895984087,163.301823609651,0.026749254526887,557.04392427947,268.408801502533,269.204207611112
"909",60573,2017,269.165104290043,270.651113208107,210.875907369559,0.0928287851280818,18.0632625931102,269.1745058,270.651109928036
"910",60573,2018,270.788384674499,271.273635731415,192.247863702691,0.0346194846712918,1.16223593500713,270.796717087085,271.248014496162
"911",60573,2019,271.361675971835,272.860663248171,213.085250930332,0.109211604787941,121.135145801502,271.365456980299,272.814996888461
"912",70492,2013,199.886758306442,201.138687354922,221.761305502776,0.0578307097781963,7.88991368681476,200.1,201.137157195326
"913",70492,2014,198.564126870725,200.916593848301,195.410212155498,0.066778890532782,4.60169672930362,198.58810439471,200.916120439745
"914",70492,2015,200.81662357455,203.307039969891,170.804664488232,0.0777834963876654,1.56720177395259,200.833966034157,203.30503037129
"915",70492,2016,202.96396431538,205.174035988329,193.52956734379,0.0564300796811319,6.04942222114373,203.017097757221,205.171977480969
"916",70492,2017,204.945005011297,207.129206658288,144.435355537219,0.0583326191565173,0.213679868231284,205,207.104915252971
"917",70492,2018,207.038008877998,208.818209911536,188.546572644311,0.0591902886691357,4.58976273770496,207.044493762726,208.813412562058
"918",70492,2019,208.535829009801,210.675024827447,175.576535408704,0.0741383576278064,0.814562728997547,208.537788787273,210.674901474243
"919",60576,2013,94.8577773580185,95.4719495945084,259.731632837727,0.0361344416389067,26.3155227719317,95.1000345241103,95.4642833607617
"920",60576,2014,95.0041367715725,96.7073925957768,144.126328494049,0.0494026777789505,0.285719381684019,95.1052628049849,96.7046989850954
"921",60576,2015,96.9023060533313,98.4516319846628,182.636132474716,0.0562448570603921,1.24658752658597,96.9108992925602,98.450427797528
"922",60576,2016,98.5310648572472,99.3269775596578,212.392054891457,0.0697442779228634,9.8509080777128,98.56297399,99.3264828087143
"923",60576,2017,99.4162348626524,100.002435524658,233.321409567415,0.0844106852198552,136.552513027159,99.4393998275929,100.00187983047
"924",60576,2018,100.107070279646,100.550139749027,176.696710933896,0.0621699514716776,1.14972570515377,100.1100663,100.53614388108
"925",60576,2019,100.746592747261,101.53200786984,180.179864775458,0.0767476616205059,1.16748653444532,100.752707860778,101.528727726462
"926",70493,2013,539.230649502317,542.155246600084,206.7046384177,0.0780544999530026,4.45309870493861,539.429076082346,542.136430492592
"927",70493,2014,538.979759514146,542.679339234566,186.123531176838,0.0687353675339815,1.42735677276384,538.99841503528,542.661184222576
"928",70493,2015,542.470635727327,546.30351073013,178.591757729878,0.0728719165447907,1.65527013461782,542.539972779,546.303295733442
